moldb_inchikey,SMILES,food_sources,superclass,class
HBXXDBKJLPLXPR-DLBZZEGUSA-O,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,['highbush_blueberry'],Phenylpropanoids and polyketides,Flavonoids
MIYGQTFETYBMKF-WVXUANQFSA-O,[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,['strawberry'],Phenylpropanoids and polyketides,Flavonoids
UBUSYXLSGMWUJJ-WVXUANQFSA-O,[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,"['red_raspberry', 'strawberry', 'wheat']",,
GPUBWXUQPURXOQ-SKKXNPCDSA-O,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,['highbush_blueberry'],,
MBSKDCPWFSMEFD-ZKVZURMCSA-O,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,['highbush_blueberry'],,
WGYWEDJQQFKGID-ZTKYFMRJSA-O,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,['highbush_blueberry'],,
BGOQMKHOLJPANL-XSYGEPLQSA-O,[H][C@]1(CO)O[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@]([H])(O)[C@]1([H])O,"['strawberry', 'black_elderberry', 'blackcurrant']",,
MFHMTMFSFNMTFQ-RJBRRTDCSA-O,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,['common_grape'],,
WIEYMFHXYNRELM-MJKGWSOKSA-O,[H][C@]1(CO)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]1([H])O,['blackcurrant'],,
KTFQEFWNLAUGAX-YQUABMASSA-O,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,"['black_elderberry', 'highbush_blueberry']",,
RFTHDRVOYDHSOC-BGXVWEPQSA-O,[H][C@]1(CO)O[C@@]([H])(OC2=C3C=C(OC4=CC(O)=CC([O+]=C2C2=CC(OC)=C(O)C(OC)=C2)=C34)C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,['common_grape'],Phenylpropanoids and polyketides,Flavonoids
